"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","459","10","0","0","3","20","2","0","0","0","4"
"B-NAME","0","13","982","0","0","2","9","24","0","0","1","2"
"B-QTY","0","0","0","940","0","0","1","0","0","0","0","2"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","5","3","0","816","2","5","0","0","2","0"
"I-COMMENT","0","13","5","1","0","1","1392","10","0","0","0","13"
"I-NAME","0","2","15","0","0","1","15","1011","0","0","0","6"
"I-QTY","0","0","0","1","0","0","0","0","478","0","2","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","2","0","0","5","10","1","0","0","116","1"
"OTHER","0","6","10","0","0","1","47","7","0","0","0","851"
