"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","468","6","1","0","0","18","0","0","0","0","5"
"B-NAME","0","13","990","0","0","1","4","22","0","0","1","2"
"B-QTY","0","0","0","942","0","0","1","0","0","0","0","0"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","6","3","0","816","1","5","0","0","2","0"
"I-COMMENT","0","15","5","2","0","2","1381","10","0","0","1","19"
"I-NAME","0","1","13","0","0","4","14","1009","0","0","3","6"
"I-QTY","0","0","0","0","0","0","0","0","478","0","3","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","1","0","0","5","10","1","0","0","119","0"
"OTHER","0","4","11","0","0","1","34","5","0","0","0","867"
