"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","464","9","0","0","2","15","1","0","0","1","6"
"B-NAME","0","10","991","0","0","1","9","18","0","0","0","4"
"B-QTY","0","1","0","938","0","1","3","0","0","0","0","0"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","4","3","0","819","2","2","0","0","3","0"
"I-COMMENT","0","14","5","1","0","1","1386","1","0","0","6","21"
"I-NAME","0","3","15","0","0","2","14","1009","0","0","1","6"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","2","1","0","0","5","9","1","0","0","121","0"
"OTHER","0","2","9","0","0","1","54","6","0","0","0","850"
