"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","474","8","0","0","1","8","1","0","0","1","5"
"B-NAME","0","10","994","0","0","1","3","19","0","0","1","5"
"B-QTY","0","2","0","938","0","1","1","0","1","0","0","0"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","4","3","0","817","1","6","0","0","2","0"
"I-COMMENT","0","14","7","1","0","2","1380","5","0","0","1","25"
"I-NAME","0","2","9","0","0","2","14","1014","0","0","2","7"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","1","1","0","6","10","1","0","0","116","0"
"OTHER","0","3","7","0","0","1","41","5","0","0","0","865"
