"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","462","7","0","0","2","17","1","0","0","3","6"
"B-NAME","0","11","993","0","0","1","4","19","0","0","1","4"
"B-QTY","0","0","0","940","0","1","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","6","3","0","814","3","3","0","0","3","1"
"I-COMMENT","0","13","6","1","0","2","1370","9","0","0","6","28"
"I-NAME","0","2","11","0","0","2","15","1007","0","0","2","11"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","2","1","0","0","5","8","1","0","0","122","0"
"OTHER","0","2","8","1","0","2","41","6","0","0","0","862"
