"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","463","9","0","0","1","19","0","0","0","1","5"
"B-NAME","0","11","991","0","0","0","10","18","0","0","0","3"
"B-QTY","0","1","0","938","0","0","1","0","1","0","0","2"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","4","3","0","816","4","3","0","0","2","1"
"I-COMMENT","0","11","8","1","0","1","1389","6","0","0","0","19"
"I-NAME","0","1","12","0","0","2","15","1005","0","0","2","13"
"I-QTY","0","0","0","1","0","0","0","0","480","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","1","0","0","6","11","3","0","0","113","1"
"OTHER","0","6","6","1","0","0","52","4","0","0","0","853"
