"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","468","6","0","0","0","16","1","0","0","2","5"
"B-NAME","0","8","998","0","0","0","8","16","0","0","0","3"
"B-QTY","0","1","0","939","0","1","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","5","3","0","812","1","6","0","0","4","2"
"I-COMMENT","0","11","10","1","0","1","1380","5","0","0","2","25"
"I-NAME","0","1","12","0","0","2","13","1010","0","0","1","11"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","1","0","0","5","11","1","0","0","116","2"
"OTHER","0","3","9","0","0","1","51","5","0","0","0","853"
