"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","470","6","0","0","1","12","1","0","0","1","7"
"B-NAME","0","12","991","0","0","1","7","17","1","0","0","4"
"B-QTY","0","1","0","939","0","1","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","0","5","3","0","816","3","3","0","0","3","1"
"I-COMMENT","0","14","7","2","0","2","1367","8","0","0","1","34"
"I-NAME","0","2","17","0","0","1","11","1005","0","0","0","14"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","1","0","0","7","8","1","0","0","119","0"
"OTHER","0","2","8","0","0","0","31","6","0","0","0","875"
