"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","470","8","0","0","1","10","1","0","0","3","5"
"B-NAME","0","10","993","0","0","0","5","24","0","0","0","1"
"B-QTY","0","0","0","941","0","0","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","5","2","0","818","0","5","0","0","3","0"
"I-COMMENT","0","13","7","2","0","4","1366","5","0","0","8","30"
"I-NAME","0","3","14","0","0","3","15","1008","0","0","1","6"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","2","0","0","4","5","1","0","0","124","0"
"OTHER","0","3","8","0","0","1","41","4","0","0","0","865"
