"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","469","9","0","0","1","13","0","0","0","0","6"
"B-NAME","0","9","988","0","0","0","13","22","0","0","0","1"
"B-QTY","0","0","0","941","0","1","1","0","0","0","0","0"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","5","3","0","817","3","2","1","0","2","0"
"I-COMMENT","0","16","4","1","0","2","1383","6","0","0","0","23"
"I-NAME","0","1","11","0","0","2","14","1015","0","0","4","3"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","1","0","0","6","9","1","0","0","118","0"
"OTHER","0","5","10","0","0","1","42","4","0","0","0","860"
