"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","464","9","0","0","2","15","1","0","0","1","6"
"B-NAME","0","11","992","0","0","0","6","20","0","0","1","3"
"B-QTY","0","1","0","940","0","0","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","3","2","0","815","2","6","2","0","3","0"
"I-COMMENT","0","14","5","1","0","1","1394","2","0","0","0","18"
"I-NAME","0","1","12","0","0","1","18","1011","0","0","1","6"
"I-QTY","0","0","0","0","0","0","0","0","481","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","4","1","0","0","4","12","3","0","0","115","0"
"OTHER","0","5","7","0","0","0","49","5","0","0","1","855"
