"","PAD","B-COMMENT","B-NAME","B-QTY","B-RANGE_END","B-UNIT","I-COMMENT","I-NAME","I-QTY","I-RANGE_END","I-UNIT","OTHER"
"PAD","0","0","0","0","0","0","0","0","0","0","0","0"
"B-COMMENT","0","460","11","0","0","1","19","1","0","0","2","4"
"B-NAME","0","7","987","0","0","0","11","27","0","0","0","1"
"B-QTY","0","1","0","940","0","0","1","0","0","0","0","1"
"B-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"B-UNIT","0","1","6","3","0","814","2","5","0","0","3","0"
"I-COMMENT","0","10","6","1","0","1","1397","4","0","0","1","15"
"I-NAME","0","2","11","0","0","1","19","1013","0","0","0","4"
"I-QTY","0","0","0","1","0","0","0","0","480","0","0","0"
"I-RANGE_END","0","0","0","0","0","0","0","0","0","0","0","0"
"I-UNIT","0","3","1","0","0","5","12","3","0","0","115","0"
"OTHER","0","5","6","0","0","1","56","4","0","0","0","850"
