"id","raw","pred","label","dist","training_count","not_exact"
"5116","1-28 oz. can diced tomatoes","diced tomato","diced tomato","0.045314804","26","False"
"6020","1 green bell pepper","green bell pepper","green bell pepper","0.025010865","32","False"
"3594","8 hamburger buns, split","hamburger bun","hamburger bun","0.1611824","10","False"
"1246","1 small tomato, seeded, finely chopped (about 1/2 cup)","tomato","tomato","0.124787614","57","False"
"3552","1 teaspoon coriander powder","ground coriander","ground coriander","0.16730435","14","False"
"8333","1/4 cup diced red onion","red onion","red onion","0.043379784","67","False"
"480","4 cups fresh spinach","fresh spinach","fresh spinach","0.034782797","50","False"
"6747","2 teaspoons ground cumin","ground cumin","ground cumin","0.022494646","72","False"
"6893","2 Tbsp mirin","white wine","white wine","0.23535022","19","True"
"4292","1 large avocado","hass avocado","hass avocado","0.11869684","64","False"
"3469"," Salt","table salt","table salt","0.10004881","208","False"
"92","1 cup chopped romaine lettuce","romaine lettuce","romaine lettuce","0.058965273","27","False"
"6756","8 ounces hot Italian turkey sausage, casings removed","turkey sausage","turkey sausage","0.19135556","2","True"
"325","Zest of 1 lime","lime zest","lime zest","0.14363031","8","False"
"6399","1 cup chopped red onion (about 1 small onion)","red onion","red onion","0.10043199","67","False"
"4107","1 medium zucchini, halved lengthwise and sliced","zucchini","zucchini","0.09222701","26","False"
"96","1/2 cup 1% milk","1% milk","1% milk","0.051964812","8","False"
"4002","1 teaspoon ground cumin","ground cumin","ground cumin","0.026857082","72","False"
"4635","1/2 green bell pepper, finely chopped","green bell pepper","green bell pepper","0.042110886","32","False"
"4425","1 tablespoon of lime juice","lime juice","lime juice","0.03812273","71","False"
"7679","1 teaspoon sugar","white sugar","white sugar","0.10864636","51","False"
"8304","1 ½ teaspoons finely grated lime zest","lime zest","lime zest","0.13520774","8","False"
"1996","1 avocado, mashed","hass avocado","hass avocado","0.15170251","64","False"
"2922","1 1/2 teaspoons olive oil","olive oil","olive oil","0.0734898","223","False"
"4995","2 tablespoons olive oil","olive oil","olive oil","0.05060727","223","False"
"7293","5 oz. diced bacon or chorizo","bacon","bacon","0.13157076","23","False"
"591","1 large ripe banana ((previously peeled, sliced and frozen // more for a sweeter smoothie))","banana","banana","0.1596637","10","False"
"703","Sour cream (optional)","sour cream","sour cream","0.13518092","23","False"
"8562","1/4 cup balsamic vinegar","balsamic vinegar","balsamic vinegar","0.07388397","17","False"
"8380","1 (15-ounce) can chickpeas, rinsed and drained","chickpea","chickpea","0.1261269","27","False"
"3745","2 red bell peppers, seeded and cut in small dice","red bell pepper","red bell pepper","0.14821418","60","False"
"3980","1/4 yellow onion, chopped","yellow onion","yellow onion","0.054488994","164","False"
"8837","1 Tbsp brown sugar","light brown sugar","light brown sugar","0.08702545","32","False"
"2822","1 tablespoon butter","unsalted butter","unsalted butter","0.0997833","93","False"
"805","¼ oz. Cilantro","cilantro","cilantro","0.098208934","117","False"
"143","Â½ cup Wild Rice","white rice","white rice","0.17268069","25","False"
"8553","2 heads romaine lettuce, chopped","romaine lettuce","romaine lettuce","0.073626295","27","False"
"3638","½ cup heavy cream","heavy whipping cream","heavy whipping cream","0.121813826","20","False"
"7434","Kosher salt","kosher salt","kosher salt","0.07063778","113","False"
"3790","¼ teaspoon turmeric","ground turmeric","ground turmeric","0.12186758","28","False"
"6222","2 tablespoons fresh dill, chopped","fresh dill","fresh dill","0.052849352","13","False"
"4741","1 5.5oz can Bumble Bee® Solid White Albacore, drained","water-packed white tuna","water-packed white tuna","0.36733556","4","False"
"7431","8 garlic cloves, smashed","garlic","garlic","0.12315807","331","False"
"8066","1 tbsp butter (unsalted)","unsalted butter","unsalted butter","0.08875968","93","False"
"6578","1/4 cup all-purpose flour","all-purpose white flour","all-purpose white flour","0.107263714","36","False"
"7548","1 stalk celery, chopped","celery","celery","0.092461586","44","False"
"6421","2 teaspoons fresh lemon juice","lemon juice","lemon juice","0.037055705","66","False"
"6316","1/2 tsp garlic powder","garlic powder","garlic powder","0.054610632","53","False"
"8585","5 cups kale, stems removed, chopped fine","kale","kale","0.14739397","15","False"
"7549","1 cup reduced-sodium chicken broth","low-sodium chicken broth","low-sodium chicken broth","0.052255295","26","False"
"5008","2 (4 ounce) cans chopped green chile peppers, drained","diced green chili","diced green chili","0.20816304","7","False"
"244","2 cups water","tap water","tap water","0.079441145","92","False"
"6340","1/2 teaspoon chili powder","chili powder","chili powder","0.06565405","39","False"
"5371","1/4 cup cilantro, ( roughly chopped)","cilantro","cilantro","0.12993595","117","False"
"3357","Small pinch red pepper flakes","crushed red pepper flake","crushed red pepper flake","0.12914571","57","False"
"2032","1/4 cup apple cider vinegar","apple cider vinegar","apple cider vinegar","0.05280161","23","False"
"3575","1 cup part skim shredded mozzarella, Polly-o","shredded low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.15088709","15","False"
"807","14 oz. Pork Tenderloin","pork tenderloin","pork tenderloin","0.12656145","19","False"
"4324","1 garlic clove, minced","garlic","garlic","0.14258757","331","False"
"8098","3/4 teaspoon sea salt","table salt","table salt","0.10708189","208","True"
"2379","1/4 cup diced red onion","red onion","red onion","0.043379784","67","False"
"4648","6 chicken drumsticks (about 1.75 lbs.)","chicken drumstick with skin","chicken drumstick with skin","0.11459792","5","False"
"6904","1/4 cup chopped green onions","green onion","green onion","0.09641908","109","False"
"7567","3 tablespoons olive oil","olive oil","olive oil","0.079705365","223","False"
"5321","1 pound pork tenderloin,trimmed","pork tenderloin","pork tenderloin","0.047338895","19","False"
"6038","2 Skin-On Salmon Fillets","farmed atlantic salmon","farmed atlantic salmon","0.12971742","19","True"
