"id","raw","encoded","pred","label","dist","training_count","not_exact"
"5116","1-28 oz. can diced tomatoes","1 - 28 oz . can diced tomatoes","diced tomato","diced tomato","0.07594474","26","False"
"6020","1 green bell pepper","1 green bell pepper","green bell pepper","green bell pepper","0.035255432","32","False"
"3594","8 hamburger buns, split","8 hamburger buns , split","hamburger bun","hamburger bun","0.0935995","10","False"
"1246","1 small tomato, seeded, finely chopped (about 1/2 cup)","1 small tomato , seeded , finely chopped ( about 1 / 2 cup )","tomato","tomato","0.13198702","57","False"
"3552","1 teaspoon coriander powder","1 teaspoon coriander powder","ground coriander","ground coriander","0.24747932","14","False"
"8333","1/4 cup diced red onion","1 / 4 cup diced red onion","red onion","red onion","0.07626346","67","False"
"480","4 cups fresh spinach","4 cups fresh spinach","fresh spinach","fresh spinach","0.049407676","50","False"
"6747","2 teaspoons ground cumin","2 teaspoons ground cumin","ground cumin","ground cumin","0.048617937","72","False"
"6893","2 Tbsp mirin","2 Tbsp mirin","white wine","white wine","0.24657905","19","True"
"4292","1 large avocado","1 large avocado","hass avocado","hass avocado","0.15451397","64","False"
"3469"," Salt","Salt","table salt","table salt","0.11917357","208","False"
"92","1 cup chopped romaine lettuce","1 cup chopped romaine lettuce","romaine lettuce","romaine lettuce","0.067973815","27","False"
"6756","8 ounces hot Italian turkey sausage, casings removed","8 ounces hot Italian turkey sausage , casings removed","turkey sausage","turkey sausage","0.1956631","2","True"
"325","Zest of 1 lime","Zest of 1 lime","lime zest","lime zest","0.18729043","8","False"
"6399","1 cup chopped red onion (about 1 small onion)","1 cup chopped red onion ( about 1 small onion )","red onion","red onion","0.11471093","67","False"
"4107","1 medium zucchini, halved lengthwise and sliced","1 medium zucchini , halved lengthwise and sliced","zucchini","zucchini","0.21645208","26","False"
"96","1/2 cup 1% milk","1 / 2 cup 1 % milk","1% milk","1% milk","0.024990648","8","False"
"4002","1 teaspoon ground cumin","1 teaspoon ground cumin","ground cumin","ground cumin","0.030994508","72","False"
"4635","1/2 green bell pepper, finely chopped","1 / 2 green bell pepper , finely chopped","green bell pepper","green bell pepper","0.06539603","32","False"
"4425","1 tablespoon of lime juice","1 tablespoon of lime juice","lime juice","lime juice","0.06144477","71","False"
"7679","1 teaspoon sugar","1 teaspoon sugar","white sugar","white sugar","0.14458066","51","False"
"8304","1 ½ teaspoons finely grated lime zest","1 1 / 2 teaspoons finely grated lime zest","lime zest","lime zest","0.13304096","8","False"
"1996","1 avocado, mashed","1 avocado , mashed","hass avocado","hass avocado","0.2016494","64","False"
"2922","1 1/2 teaspoons olive oil","1 1 / 2 teaspoons olive oil","olive oil","olive oil","0.07269791","223","False"
"4995","2 tablespoons olive oil","2 tablespoons olive oil","olive oil","olive oil","0.054428063","223","False"
"7293","5 oz. diced bacon or chorizo","5 oz . diced bacon or chorizo","bacon","bacon","0.14100637","23","False"
