"id","raw","encodedpred","label","dist","training_count","not_exact"
"5116","1-28 oz. can diced tomatoes","1 - 28 oz . can diced tomatoes","diced tomato","diced tomato","0.090559006","26","False"
"6020","1 green bell pepper","1 green bell pepper","green bell pepper","green bell pepper","0.019153338","32","False"
"3594","8 hamburger buns, split","8 hamburger buns , split","hamburger bun","hamburger bun","0.06669211","10","False"
"1246","1 small tomato, seeded, finely chopped (about 1/2 cup)","1 small tomato , seeded , finely chopped ( about 1 / 2 cup )","tomato","tomato","0.10666801","57","False"
"3552","1 teaspoon coriander powder","1 teaspoon coriander powder","ground coriander","ground coriander","0.18471406","14","False"
"8333","1/4 cup diced red onion","1 / 4 cup diced red onion","red onion","red onion","0.10917182","67","False"
"480","4 cups fresh spinach","4 cups fresh spinach","fresh spinach","fresh spinach","0.020293497","50","False"
"6747","2 teaspoons ground cumin","2 teaspoons ground cumin","ground cumin","ground cumin","0.057461806","72","False"
"6893","2 Tbsp mirin","2 Tbsp mirin","white wine","white wine","0.23747465","19","True"
"4292","1 large avocado","1 large avocado","hass avocado","hass avocado","0.200055","64","False"
"3469"," Salt","Salt","table salt","table salt","0.14866862","208","False"
"92","1 cup chopped romaine lettuce","1 cup chopped romaine lettuce","romaine lettuce","romaine lettuce","0.062768385","27","False"
"6756","8 ounces hot Italian turkey sausage, casings removed","8 ounces hot Italian turkey sausage , casings removed","turkey sausage","turkey sausage","0.20393722","2","True"
"325","Zest of 1 lime","Zest of 1 lime","lime zest","lime zest","0.1852571","8","False"
"6399","1 cup chopped red onion (about 1 small onion)","1 cup chopped red onion ( about 1 small onion )","red onion","red onion","0.09527335","67","False"
"4107","1 medium zucchini, halved lengthwise and sliced","1 medium zucchini , halved lengthwise and sliced","zucchini","zucchini","0.13998398","26","False"
"96","1/2 cup 1% milk","1 / 2 cup 1 % milk","1% milk","1% milk","0.05421634","8","False"
"4002","1 teaspoon ground cumin","1 teaspoon ground cumin","ground cumin","ground cumin","0.033286177","72","False"
"4635","1/2 green bell pepper, finely chopped","1 / 2 green bell pepper , finely chopped","green bell pepper","green bell pepper","0.0600996","32","False"
"4425","1 tablespoon of lime juice","1 tablespoon of lime juice","lime juice","lime juice","0.05074242","71","False"
"7679","1 teaspoon sugar","1 teaspoon sugar","white sugar","white sugar","0.135519","51","False"
"8304","1 ½ teaspoons finely grated lime zest","1 1 / 2 teaspoons finely grated lime zest","lime zest","lime zest","0.20850126","8","False"
"1996","1 avocado, mashed","1 avocado , mashed","hass avocado","hass avocado","0.22495818","64","False"
"2922","1 1/2 teaspoons olive oil","1 1 / 2 teaspoons olive oil","olive oil","olive oil","0.123065114","223","False"
"4995","2 tablespoons olive oil","2 tablespoons olive oil","olive oil","olive oil","0.06358764","223","False"
"7293","5 oz. diced bacon or chorizo","5 oz . diced bacon or chorizo","bacon","bacon","0.23775746","23","False"
"591","1 large ripe banana ((previously peeled, sliced and frozen // more for a sweeter smoothie))","1 large ripe banana ( ( previously peeled , sliced and frozen / / more for a sweeter UNK ) )","banana","banana","0.2055187","10","False"
"703","Sour cream (optional)","Sour cream ( optional )","sour cream","sour cream","0.056645654","23","False"
"8562","1/4 cup balsamic vinegar","1 / 4 cup balsamic vinegar","balsamic vinegar","balsamic vinegar","0.07841664","17","False"
"8380","1 (15-ounce) can chickpeas, rinsed and drained","1 ( 15 - ounce ) can chickpeas , rinsed and drained","chickpea","chickpea","0.1226327","27","False"
"3745","2 red bell peppers, seeded and cut in small dice","2 red bell peppers , seeded and cut in small dice","red bell pepper","red bell pepper","0.09763445","60","False"
"3980","1/4 yellow onion, chopped","1 / 4 yellow onion , chopped","yellow onion","yellow onion","0.062829174","164","False"
"8837","1 Tbsp brown sugar","1 Tbsp brown sugar","light brown sugar","light brown sugar","0.12291492","32","False"
"2822","1 tablespoon butter","1 tablespoon butter","unsalted butter","unsalted butter","0.112120435","93","False"
"805","¼ oz. Cilantro","1 / 4 oz . Cilantro","cilantro","cilantro","0.17791396","117","False"
"143","Â½ cup Wild Rice","UNK 1 / 2 cup Wild Rice","white rice","white rice","0.20775709","25","False"
"8553","2 heads romaine lettuce, chopped","2 heads romaine lettuce , chopped","romaine lettuce","romaine lettuce","0.054753087","27","False"
"3638","½ cup heavy cream","1 / 2 cup heavy cream","heavy whipping cream","heavy whipping cream","0.08742486","20","False"
"7434","Kosher salt","Kosher salt","kosher salt","kosher salt","0.07858954","113","False"
"3790","¼ teaspoon turmeric","1 / 4 teaspoon turmeric","ground turmeric","ground turmeric","0.15965259","28","False"
"6222","2 tablespoons fresh dill, chopped","2 tablespoons fresh dill , chopped","fresh dill","fresh dill","0.05772053","13","False"
"7431","8 garlic cloves, smashed","8 garlic cloves , smashed","garlic","garlic","0.15711696","331","False"
"8066","1 tbsp butter (unsalted)","1 tbsp butter ( unsalted )","unsalted butter","unsalted butter","0.101735845","93","False"
"6578","1/4 cup all-purpose flour","1 / 4 cup all - purpose flour","all-purpose white flour","all-purpose white flour","0.09586602","36","False"
"7548","1 stalk celery, chopped","1 stalk celery , chopped","celery","celery","0.083645165","44","False"
"6421","2 teaspoons fresh lemon juice","2 teaspoons fresh lemon juice","lemon juice","lemon juice","0.12120406","66","False"
