"id","raw","encoded","pred","label","dist","training_count","not_exact"
"628","4 tablespoons extra-virgin olive oil","4 tablespoons extra - virgin olive oil","extra-virgin olive oil","olive oil","0.020515509","223","False"
"4448","¾ cup dashi ((200 ml; Kombu Dashi for vegetarian))","3 / 4 cup dashi ( ( 200 ml UNK UNK for vegetarian ) )","beef broth","","0.36350667","335","False"
"2473","2 cups coarsely crushed salted potato chips (about 2 ounces)","2 cups coarsely crushed salted potato chips ( about 2 ounces )","frozen mixed vegetable","","0.45474476","335","False"
"7041","2 cups additional chopped veggies (optional)","2 cups additional chopped UNK ( optional )","regular mayonnaise","","0.3934193","335","False"
"266","5 pounds boneless beef chuck, cut into ½-inch slices","5 pounds boneless beef chuck , cut into 1 / 2 - inch slices","chuck steak","","0.25621355","335","False"
"4658","3 tablespoons chopped dill pickles","3 tablespoons chopped dill pickles","dried dill weed","","0.29373848","335","False"
"4485","1/2 cup grits","1 / 2 cup grits","macaroni","","0.34621054","335","False"
"889","2 teaspoons Sichuan peppercorns (optional)","2 teaspoons Sichuan peppercorns ( optional )","ground red pepper","","0.3424883","335","False"
"5342","Condiments as desired, such as Chipotle Mayonnaise, ketchup, mustard, or mayonnaise (optional)","UNK as desired , such as Chipotle Mayonnaise , ketchup , mustard , or mayonnaise ( optional )","ketchup","","0.42318964","335","False"
"2946","1/4 cup basil leaves, (thinly sliced)","1 / 4 cup basil leaves , ( thinly sliced )","fresh basil","ground dried basil","0.194007","9","False"
"701","6 ounces shredded cooked skinless chicken breast, divided","6 ounces shredded cooked skinless chicken breast , divided","rotisserie chicken","","0.2636888","335","False"
"3567","1 cup frozen blueberries","1 cup frozen blueberries","blueberry","","0.2858526","335","False"
"263","2 dried guajillo chiles","2 dried guajillo chiles","ancho dried chili","","0.30457255","335","False"
"5123","1- 1/2 cup mozzarella cheese","1 - 1 / 2 cup mozzarella cheese","low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.147307","15","True"
"5180","1 cup dried white beans, soaked for several hours or overnight","1 cup dried white beans , soaked for several hours or overnight","red lentil","","0.41158497","335","False"
"2717","¼ cup freshly chopped oregano","1 / 4 cup freshly chopped oregano","dried oregano leaf","","0.18958068","335","False"
"9000","1/2 cup shredded fontina cheese","1 / 2 cup shredded fontina cheese","shredded yellow cheddar cheese","","0.25638536","335","False"
"6619","A small pinch of dried wood ear mushrooms (black fungus (yields 1 cup after rehydration))","A small pinch of dried wood ear mushrooms ( black fungus ( yields 1 cup after UNK ) )","dried rosemary","","0.36082968","335","False"
"72","2 Tbsp extra virgin olive oil","2 Tbsp extra virgin olive oil","extra-virgin olive oil","olive oil","0.037383404","223","False"
