"id","raw","encoded","pred","label","dist","training_count","not_exact"
"5116","1-28 oz. can diced tomatoes","1 - 28 oz . can diced tomatoes","diced tomato","diced tomato","0.10668248","26","False"
"6020","1 green bell pepper","1 green bell pepper","green bell pepper","green bell pepper","0.024800386","32","False"
"3594","8 hamburger buns, split","8 hamburger buns , split","hamburger bun","hamburger bun","0.10743424","10","False"
"1246","1 small tomato, seeded, finely chopped (about 1/2 cup)","1 small tomato , seeded , finely chopped ( about 1 / 2 cup )","tomato","tomato","0.090457425","57","False"
"3552","1 teaspoon coriander powder","1 teaspoon coriander powder","ground coriander","ground coriander","0.122497335","14","False"
"8333","1/4 cup diced red onion","1 / 4 cup diced red onion","red onion","red onion","0.032393403","67","False"
"480","4 cups fresh spinach","4 cups fresh spinach","fresh spinach","fresh spinach","0.014798441","50","False"
"6747","2 teaspoons ground cumin","2 teaspoons ground cumin","ground cumin","ground cumin","0.06266699","72","False"
"6893","2 Tbsp mirin","2 Tbsp mirin","white wine","white wine","0.20207739","19","True"
"4292","1 large avocado","1 large avocado","hass avocado","hass avocado","0.072439805","64","False"
"3469"," Salt","Salt","table salt","table salt","0.2079524","208","False"
"92","1 cup chopped romaine lettuce","1 cup chopped romaine lettuce","romaine lettuce","romaine lettuce","0.0648815","27","False"
"6756","8 ounces hot Italian turkey sausage, casings removed","8 ounces hot Italian turkey sausage , casings removed","turkey sausage","turkey sausage","0.1739982","2","True"
"325","Zest of 1 lime","Zest of 1 lime","lime zest","lime zest","0.13041341","8","False"
"6399","1 cup chopped red onion (about 1 small onion)","1 cup chopped red onion ( about 1 small onion )","red onion","red onion","0.070343144","67","False"
"4107","1 medium zucchini, halved lengthwise and sliced","1 medium zucchini , halved lengthwise and sliced","zucchini","zucchini","0.08663241","26","False"
"96","1/2 cup 1% milk","1 / 2 cup 1 % milk","1% milk","1% milk","0.03886368","8","False"
"4002","1 teaspoon ground cumin","1 teaspoon ground cumin","ground cumin","ground cumin","0.048903383","72","False"
"4635","1/2 green bell pepper, finely chopped","1 / 2 green bell pepper , finely chopped","green bell pepper","green bell pepper","0.05184606","32","False"
"4425","1 tablespoon of lime juice","1 tablespoon of lime juice","lime juice","lime juice","0.028324228","71","False"
"7679","1 teaspoon sugar","1 teaspoon sugar","white sugar","white sugar","0.1697182","51","False"
"8304","1 ½ teaspoons finely grated lime zest","1 1 / 2 teaspoons finely grated lime zest","lime zest","lime zest","0.09532152","8","False"
"1996","1 avocado, mashed","1 avocado , mashed","hass avocado","hass avocado","0.13946132","64","False"
"2922","1 1/2 teaspoons olive oil","1 1 / 2 teaspoons olive oil","olive oil","olive oil","0.07386784","223","False"
"4995","2 tablespoons olive oil","2 tablespoons olive oil","olive oil","olive oil","0.04036317","223","False"
"7293","5 oz. diced bacon or chorizo","5 oz . diced bacon or chorizo","bacon","bacon","0.11690509","23","False"
"591","1 large ripe banana ((previously peeled, sliced and frozen // more for a sweeter smoothie))","1 large ripe banana ( ( previously peeled , sliced and frozen / / more for a sweeter smoothie ) )","banana","banana","0.14784017","10","False"
"703","Sour cream (optional)","Sour cream ( optional )","sour cream","sour cream","0.09093107","23","False"
"8562","1/4 cup balsamic vinegar","1 / 4 cup balsamic vinegar","balsamic vinegar","balsamic vinegar","0.031476855","17","False"
"8380","1 (15-ounce) can chickpeas, rinsed and drained","1 ( 15 - ounce ) can chickpeas , rinsed and drained","chickpea","chickpea","0.087095514","27","False"
"3745","2 red bell peppers, seeded and cut in small dice","2 red bell peppers , seeded and cut in small dice","red bell pepper","red bell pepper","0.18188125","60","False"
"3980","1/4 yellow onion, chopped","1 / 4 yellow onion , chopped","yellow onion","yellow onion","0.03126896","164","False"
"8837","1 Tbsp brown sugar","1 Tbsp brown sugar","light brown sugar","light brown sugar","0.124685615","32","False"
"2822","1 tablespoon butter","1 tablespoon butter","unsalted butter","unsalted butter","0.12217434","93","False"
"805","¼ oz. Cilantro","1 / 4 oz . Cilantro","cilantro","cilantro","0.11129297","117","False"
"143","Â½ cup Wild Rice","UNK 1 / 2 cup Wild Rice","white rice","white rice","0.20946838","25","False"
"8553","2 heads romaine lettuce, chopped","2 heads romaine lettuce , chopped","romaine lettuce","romaine lettuce","0.06698255","27","False"
"3638","½ cup heavy cream","1 / 2 cup heavy cream","heavy whipping cream","heavy whipping cream","0.046348","20","False"
"7434","Kosher salt","Kosher salt","kosher salt","kosher salt","0.04382266","113","False"
"3790","¼ teaspoon turmeric","1 / 4 teaspoon turmeric","ground turmeric","ground turmeric","0.14570916","28","False"
"6222","2 tablespoons fresh dill, chopped","2 tablespoons fresh dill , chopped","fresh dill","fresh dill","0.068328336","13","False"
"4741","1 5.5oz can Bumble Bee® Solid White Albacore, drained","1 5 . 5 oz can UNK UNK Solid White UNK , drained","water-packed white tuna","water-packed white tuna","0.29822403","4","False"
"7431","8 garlic cloves, smashed","8 garlic cloves , smashed","garlic","garlic","0.12936059","331","False"
"8066","1 tbsp butter (unsalted)","1 tbsp butter ( unsalted )","unsalted butter","unsalted butter","0.116065234","93","False"
"6578","1/4 cup all-purpose flour","1 / 4 cup all - purpose flour","all-purpose white flour","all-purpose white flour","0.12379523","36","False"
"7548","1 stalk celery, chopped","1 stalk celery , chopped","celery","celery","0.094080456","44","False"
"6421","2 teaspoons fresh lemon juice","2 teaspoons fresh lemon juice","lemon juice","lemon juice","0.043455333","66","False"
"6316","1/2 tsp garlic powder","1 / 2 tsp garlic powder","garlic powder","garlic powder","0.043339513","53","False"
"8585","5 cups kale, stems removed, chopped fine","5 cups kale , stems removed , chopped fine","kale","kale","0.06167325","15","False"
"7549","1 cup reduced-sodium chicken broth","1 cup reduced - sodium chicken broth","low-sodium chicken broth","low-sodium chicken broth","0.07818322","26","False"
"5008","2 (4 ounce) cans chopped green chile peppers, drained","2 ( 4 ounce ) cans chopped green chile peppers , drained","diced green chili","diced green chili","0.1383278","7","False"
"244","2 cups water","2 cups water","tap water","tap water","0.06873275","92","False"
"6340","1/2 teaspoon chili powder","1 / 2 teaspoon chili powder","chili powder","chili powder","0.058855955","39","False"
"5371","1/4 cup cilantro, ( roughly chopped)","1 / 4 cup cilantro , ( roughly chopped )","cilantro","cilantro","0.096634515","117","False"
"3357","Small pinch red pepper flakes","Small pinch red pepper flakes","crushed red pepper flake","crushed red pepper flake","0.19534847","57","False"
"2032","1/4 cup apple cider vinegar","1 / 4 cup apple cider vinegar","apple cider vinegar","apple cider vinegar","0.10166778","23","False"
"3575","1 cup part skim shredded mozzarella, Polly-o","1 cup part skim shredded mozzarella , Polly - o","shredded low-moisture part-skim mozzarella cheese","shredded low-moisture part-skim mozzarella cheese","0.15544224","15","False"
"807","14 oz. Pork Tenderloin","14 oz . Pork UNK","pork tenderloin","pork tenderloin","0.25080863","19","False"
"4324","1 garlic clove, minced","1 garlic clove , minced","garlic","garlic","0.11495139","331","False"
"8098","3/4 teaspoon sea salt","3 / 4 teaspoon sea salt","table salt","table salt","0.22287092","208","True"
"2379","1/4 cup diced red onion","1 / 4 cup diced red onion","red onion","red onion","0.032393403","67","False"
"4648","6 chicken drumsticks (about 1.75 lbs.)","6 chicken drumsticks ( about 1 . 75 lbs . )","chicken drumstick with skin","chicken drumstick with skin","0.17302597","5","False"
"6904","1/4 cup chopped green onions","1 / 4 cup chopped green onions","green onion","green onion","0.109142765","109","False"
"7567","3 tablespoons olive oil","3 tablespoons olive oil","olive oil","olive oil","0.057125583","223","False"
"5321","1 pound pork tenderloin,trimmed","1 pound pork tenderloin , trimmed","pork tenderloin","pork tenderloin","0.05572173","19","False"
"6038","2 Skin-On Salmon Fillets","2 Skin - UNK Salmon UNK","farmed atlantic salmon","farmed atlantic salmon","0.16718164","19","True"
"2232","1 1/2 to 2 cups cooked chickpeas","1 1 / 2 to 2 cups cooked chickpeas","chickpea","chickpea","0.199442","27","False"
"4737","1 small carrot, spiralized or cut in matchsticks","1 small carrot , spiralized or cut in matchsticks","carrot","carrot","0.10445283","61","False"
"8281","spicy mayo (see notes)","spicy mayo ( see notes )","regular mayonnaise","regular mayonnaise","0.10676255","33","True"
"7230","2 tablespoons sherry cooking wine ( or sub 1 tablespoon balsamic vinegar)","2 tablespoons sherry cooking wine ( or sub 1 tablespoon balsamic vinegar )","dry sherry","dry sherry","0.215754","6","True"
"3159","1 cup heavy cream","1 cup heavy cream","heavy whipping cream","heavy whipping cream","0.043538064","20","False"
"2609","1 tsp oregano","1 tsp oregano","dried oregano leaf","dried oregano leaf","0.12949212","41","False"
"4940","1/4 tsp white pepper","1 / 4 tsp white pepper","white pepper","white pepper","0.03863515","10","False"
"4886","1 (15 oz) can organic diced tomatoes","1 ( 15 oz ) can organic diced tomatoes","diced tomato","diced tomato","0.15546346","26","False"
"2429","3 medium cloves garlic, minced","3 medium cloves garlic , minced","garlic","garlic","0.10517123","331","False"
"3958","coarse salt","coarse salt","kosher salt","kosher salt","0.039813615","113","False"
"2087","1 15-ounce can chickpeas, rinsed","1 15 - ounce can chickpeas , rinsed","chickpea","chickpea","0.07161594","27","False"
"4187","1 tablespoon cornstarch","1 tablespoon cornstarch","cornstarch","cornstarch","0.03069303","46","False"
"8423","2 tbsp unsalted butter","2 tbsp unsalted butter","unsalted butter","unsalted butter","0.030871414","93","False"
"95","3 cloves garlic","3 cloves garlic","garlic","garlic","0.049332704","331","False"
"7270","2 teaspoons cumin","2 teaspoons cumin","ground cumin","ground cumin","0.12922034","72","False"
"5293","1 tablespoon freshly grated ginger","1 tablespoon freshly grated ginger","fresh ginger","fresh ginger","0.1333004","124","False"
"6992","2 limes","2 limes","lime","lime","0.16956857","24","False"
"2060","1 lb flank steak ((or your favorite cut of beef thinly sliced))","1 lb flank steak ( ( or your favorite cut of beef thinly sliced ) )","flank steak","flank steak","0.19518359","7","False"
"8587","2 cloves garlic, chopped","2 cloves garlic , chopped","garlic","garlic","0.078375205","331","False"
"1206","16 oz. firm tofu ((450g))","16 oz . firm tofu ( ( 450 g ) )","firm tofu","firm tofu","0.09022701","12","False"
"3289","2 cups green beans, cleaned","2 cups green beans , cleaned","fresh green bean","fresh green bean","0.14026636","11","False"
"2462","2 1/2 cups thinly sliced leeks (white and pale green parts only; from about 2 large)","2 1 / 2 cups thinly sliced leeks ( white and pale green parts only from about 2 large )","leek","leek","0.17600122","11","False"
"1736","1/3 cup low-sodium soy sauce","1 / 3 cup low - sodium soy sauce","low-sodium soy sauce","low-sodium soy sauce","0.019258767","38","False"
"8776","1 teaspoon canola oil","1 teaspoon canola oil","canola oil","canola oil","0.034932446","31","False"
"5220","Unsalted butter (softened)","Unsalted butter ( softened )","unsalted butter","unsalted butter","0.1311034","93","False"
"8013","1 small cucumber, peeled","1 small cucumber , peeled","slicing cucumber","slicing cucumber","0.09880493","27","False"
"7881","1/4 cup red onion, diced finely","1 / 4 cup red onion , diced finely","red onion","red onion","0.0562014","67","False"
"3619","2 bay leaves","2 bay leaves","bay leaf","bay leaf","0.080314904","26","False"
"4682","2 tablespoons hot sauce of choice, (or to taste)","2 tablespoons hot sauce of choice , ( or to taste )","hot sauce","hot sauce","0.15175813","18","False"
"2838","1 medium yellow onion, chopped","1 medium yellow onion , chopped","yellow onion","yellow onion","0.03171228","164","False"
"8850","2 green onions, sliced","2 green onions , sliced","green onion","green onion","0.08903244","109","False"
"1281","4 pieces rustic bread ((lightly toasted // gluten-free for GF eaters))","4 pieces rustic bread ( ( lightly toasted / / gluten - free for UNK eaters ) )","sandwich bread","sandwich bread","0.22488129","31","True"
"4623","1/4 cup cornstarch","1 / 4 cup cornstarch","cornstarch","cornstarch","0.075005434","46","False"
"2610","2 tbsp chopped fresh basil","2 tbsp chopped fresh basil","fresh basil","fresh basil","0.02325006","39","False"
"452","4 oz. Shredded Red Cabbage","4 oz . Shredded Red Cabbage","red cabbage","red cabbage","0.14509612","17","False"
"1287","Water or unsweetened almond milk ((to thin))","Water or unsweetened almond milk ( ( to thin ) )","tap water","tap water","0.23341185","92","False"
